,Unnamed: 0,Index,Frame,Success,Goblin Death,Player Hurt,Player Attacking,Player Moving,Threshbuffer,Type
166,6,301,31835,1,3,2,4,15,[0.6214 0.6597 0.7198 0.7712 0.7677 0.7524 0.7289 0.7034],1
167,7,351,34482,1,4,2,5,18,[0.6372 0.6592 0.6733 0.7027 0.7307 0.7365 0.7539 0.7515],1
168,8,384,36182,1,5,2,6,20,[0.6364 0.6492 0.6838 0.6946 0.6982 0.7213 0.6819 0.6874],1
169,9,438,39969,0,5,4,7,26,[0.3916 0.3547 0.3569 0.3452 0.3727 0.4148 0.4066 0.4026],1
170,10,439,40973,0,5,4,7,26,[0.4976 0.4809 0.5508 0.5202 0.4577 0.4399 0.5466 0.586 ],1
171,11,443,41458,1,5,4,7,26,[0.6238 0.6568 0.7128 0.7328 0.7479 0.7617 0.7738 0.768 ],1
172,0,19,20746,1,0,0,0,2,[0.6075 0.673  0.7201 0.7624 0.7955 0.8243 0.825  0.8275],0
173,1,25,21579,1,0,0,0,2,[0.5895 0.7099 0.7832 0.824  0.8231 0.8433 0.8544 0.8214],0
174,2,31,22415,1,0,0,0,2,[0.5852 0.6571 0.6973 0.7179 0.7409 0.7526 0.7736 0.7797],0
175,3,41,23108,1,0,0,0,2,[0.5853 0.7126 0.6903 0.6768 0.6443 0.6723 0.6787 0.6915],0
176,4,159,29928,1,2,4,4,6,[0.6915 0.6907 0.7297 0.7322 0.712  0.7226 0.6897 0.641 ],0
177,5,171,31323,1,2,4,4,6,[0.6231 0.6776 0.6719 0.6611 0.692  0.7282 0.7009 0.7068],0
178,6,177,32505,1,2,4,4,6,[0.6181 0.6425 0.6899 0.7412 0.8164 0.892  0.9168 0.9165],0
179,7,191,33384,1,2,4,4,6,[0.5302 0.6854 0.6814 0.789  0.7931 0.7758 0.7877 0.7978],0
180,0,49,12893,1,0,1,0,2,[0.5051 0.6681 0.6511 0.6628 0.6546 0.7011 0.7108 0.6969],1
181,1,108,15735,1,1,2,1,3,[0.8229 0.792  0.7754 0.7743 0.7402 0.7429 0.7023 0.691 ],1
182,2,163,19289,1,2,2,2,5,[0.6234 0.6822 0.7338 0.7993 0.7852 0.7453 0.7564 0.7702],1
183,3,229,22180,1,2,3,3,7,[0.6537 0.6433 0.6847 0.7043 0.7162 0.704  0.6791 0.6442],1
184,4,286,25397,1,3,5,4,9,[0.6248 0.7325 0.7767 0.791  0.7777 0.7464 0.7267 0.7281],1
185,5,336,28222,1,4,6,5,11,[0.6397 0.7138 0.7207 0.7814 0.782  0.7824 0.7437 0.7231],1
186,6,362,30121,1,4,7,6,12,[0.6121 0.6589 0.6676 0.6601 0.6839 0.716  0.6738 0.6847],1
187,7,383,32187,1,5,8,7,13,[0.6389 0.664  0.6816 0.6653 0.6607 0.7092 0.7165 0.7559],1
188,0,78,17549,1,0,0,0,3,[0.582  0.6748 0.7027 0.6873 0.6618 0.6982 0.6726 0.6655],0
189,1,88,18081,1,0,0,0,3,[0.6212 0.6616 0.6922 0.7267 0.7687 0.777  0.744  0.7494],0
190,2,98,18610,1,0,0,0,3,[0.6289 0.6649 0.6732 0.6536 0.7118 0.7096 0.7105 0.7338],0
191,3,104,19145,1,0,0,0,3,[0.5619 0.6591 0.7203 0.7176 0.7228 0.7241 0.7339 0.7117],0
192,4,273,24234,1,3,1,4,5,[0.6148 0.6722 0.7293 0.6774 0.6771 0.694  0.7405 0.7391],0
193,5,279,24788,1,3,1,4,5,[0.6002 0.6626 0.7017 0.7354 0.8206 0.8227 0.8169 0.8341],0
194,6,291,25279,1,3,1,4,5,[0.7744 0.7628 0.7842 0.8224 0.8078 0.7565 0.7691 0.7383],0
195,7,299,25774,1,3,1,4,5,[0.5767 0.673  0.6808 0.6483 0.6556 0.681  0.7011 0.6855],0
196,0,5,10747,0,0,0,0,0,[0.425  0.3818 0.4104 0.4012 0.3666 0.3636 0.3581 0.3836],1
197,1,9,11845,1,0,0,0,0,[0.6114 0.6902 0.6995 0.6967 0.7062 0.679  0.6923 0.6814],1
198,2,44,15133,0,1,1,1,1,[0.3204 0.3627 0.3575 0.354  0.3919 0.4063 0.4153 0.422 ],1
199,3,48,15792,1,1,1,1,1,[0.619  0.662  0.6564 0.654  0.6611 0.669  0.6782 0.7097],1
200,4,71,17199,1,1,3,2,1,[0.602  0.6575 0.6793 0.6756 0.7017 0.6816 0.6585 0.6878],1
201,5,90,19356,0,2,4,3,1,[0.2985 0.316  0.395  0.4109 0.4165 0.4139 0.4575 0.4238],1
202,6,91,20711,0,2,4,3,1,[0.4168 0.4181 0.3804 0.3946 0.3662 0.3462 0.3374 0.2908],1
